Political Affiliation,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?
Independent,Unlikely,Not Real At All,2,Somewhat Agree,Strongly Agree,30,No,12,DK/REF,FALSE,Dumb and happy,Acceptable
Republican,Unlikely,Real but not Caused by People,3,DK/REF,Somewhat Agree,15,No,,DK/REF,DK/REF,DK/REF,DK/REF
Republican,Unlikely,Not Real At All,4,Strongly Disagree,Strongly Agree,4,No,,Too High,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,Yes,12,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Not Real At All,3,Somewhat Disagree,Somewhat Agree,1,Yes,5,Too High,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,5,No,4,About Right,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Not Real At All,1,Strongly Disagree,Strongly Disagree,1,Yes,10,About Right,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Disagree,2,No,5,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real but not Caused by People,1,Somewhat Agree,Somewhat Agree,25,No,,DK/REF,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,8,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real but not Caused by People,0,Strongly Disagree,Strongly Agree,0,Yes,3,About Right,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real but not Caused by People,0,Strongly Disagree,Somewhat Agree,7,Yes,,DK/REF,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,5,DK/REF,TRUE,Dumb and happy,Unacceptable
Independent,Likely,Real and Caused by People,2,Strongly Agree,Strongly Agree,700,No,20,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,4,Yes,2,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,50,Yes,,Too Low,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,17,No,5,Too Low,FALSE,Dumb and happy,DK/REF
Republican,Unlikely,Real but not Caused by People,5,Somewhat Agree,Strongly Agree,15,Yes,10,Too Low,DK/REF,Smart and Sad,DK/REF
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,4,No,,Too Low,TRUE,DK/REF,DK/REF
Republican,Unlikely,Real but not Caused by People,5,Strongly Agree,Strongly Agree,15,Yes,5,Too Low,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,2,No,3,About Right,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,4,No,3,Too Low,DK/REF,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,7,Yes,,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,1,Somewhat Disagree,Somewhat Disagree,0,No,,DK/REF,TRUE,Dumb and happy,Unacceptable
Independent,Unlikely,Not Real At All,4,Strongly Disagree,Strongly Disagree,0,Yes,0,About Right,FALSE,Dumb and happy,Unacceptable
Republican,Unlikely,Not Real At All,0,Neither Agree nor Disagree,Strongly Agree,1,No,5,Too High,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real but not Caused by People,1,Somewhat Disagree,Strongly Agree,5,Yes,,About Right,FALSE,Smart and Sad,DK/REF
Independent,Likely,Not Real At All,2,Somewhat Agree,Strongly Agree,9,DK/REF,,DK/REF,TRUE,Smart and Sad,Unacceptable
Independent,Likely,Not Real At All,2,Somewhat Disagree,Strongly Disagree,14,Yes,3,Too High,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,5,Strongly Disagree,Strongly Agree,5,Yes,15,DK/REF,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,3,No,1,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Likely,Real and Caused by People,,Strongly Disagree,DK/REF,0,Yes,,About Right,TRUE,DK/REF,DK/REF
Democrat,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,25,About Right,FALSE,Smart and Sad,DK/REF
Independent,Unlikely,Real and Caused by People,4,Strongly Agree,Somewhat Disagree,70,Yes,45,Too Low,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Disagree,Somewhat Disagree,3,Yes,5,Too High,FALSE,Dumb and happy,Acceptable
Democrat,DK/REF,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,20,Yes,50,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Disagree,5,No,2,About Right,FALSE,Smart and Sad,Acceptable
DK/REF,Unlikely,Not Real At All,1,Somewhat Disagree,Strongly Agree,3,Yes,20,Too Low,TRUE,Dumb and happy,Acceptable
DK/REF,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Disagree,2,No,,DK/REF,DK/REF,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,,Somewhat Agree,Somewhat Disagree,5,Yes,50,Too Low,FALSE,Smart and Sad,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,Yes,10,About Right,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,5,Yes,25,Too Low,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real and Caused by People,5,Somewhat Agree,Somewhat Agree,30,Yes,1,Too Low,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,7,Yes,,Too High,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,0,DK/REF,,Too Low,DK/REF,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,12,No,1,Too Low,FALSE,Smart and Sad,Acceptable
DK/REF,Unlikely,Not Real At All,4,Somewhat Agree,Strongly Disagree,25,No,15,Too Low,FALSE,DK/REF,DK/REF
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,23,No,3,Too Low,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,Real and Caused by People,3,Somewhat Disagree,Strongly Disagree,6,Yes,10,Too Low,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,13,No,3,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,1,No,3,Too Low,TRUE,Smart and Sad,Unacceptable
Democrat,DK/REF,Real and Caused by People,0,Somewhat Agree,Strongly Agree,4,No,,DK/REF,TRUE,Smart and Sad,Unacceptable
Independent,DK/REF,Real and Caused by People,,DK/REF,Somewhat Agree,,Yes,,DK/REF,DK/REF,DK/REF,DK/REF
DK/REF,Likely,Not Real At All,5,Somewhat Agree,Neither Agree nor Disagree,55,Yes,5,DK/REF,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,70,Yes,15,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Not Real At All,0,DK/REF,Strongly Disagree,12,No,,DK/REF,DK/REF,DK/REF,DK/REF
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,2,No,10,Too Low,TRUE,Smart and Sad,Acceptable
DK/REF,Unlikely,Real but not Caused by People,0,DK/REF,Somewhat Disagree,3,No,29,Too Low,TRUE,DK/REF,DK/REF
Independent,Likely,Real but not Caused by People,1,Somewhat Agree,Somewhat Agree,4,No,1,About Right,FALSE,DK/REF,Acceptable
DK/REF,Unlikely,Real and Caused by People,2,Somewhat Disagree,Somewhat Disagree,10,Yes,10,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,0,Yes,5,Too Low,DK/REF,Smart and Sad,Acceptable
Independent,Likely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,5,Yes,30,Too Low,FALSE,Dumb and happy,Acceptable
Democrat,Likely,Real and Caused by People,4,Somewhat Agree,Strongly Disagree,20,No,10,Too Low,TRUE,Dumb and happy,Unacceptable
Independent,Likely,Real and Caused by People,2,Strongly Agree,Strongly Agree,0,No,,Too Low,TRUE,Smart and Sad,Acceptable
Republican,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,50,No,2,Too High,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,25,Yes,1,Too Low,FALSE,Smart and Sad,Unacceptable
Republican,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,0,No,60,About Right,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,10,No,1,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Likely,Real but not Caused by People,0,Somewhat Agree,Strongly Disagree,5,No,6,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Likely,Not Real At All,3,Somewhat Agree,Strongly Agree,0,Yes,0,DK/REF,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Not Real At All,2,Somewhat Disagree,Strongly Agree,4,No,5,About Right,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Not Real At All,2,Somewhat Agree,Somewhat Agree,3,Yes,8,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Not Real At All,,Somewhat Disagree,Strongly Agree,10,Yes,30,About Right,DK/REF,Smart and Sad,Unacceptable
Democrat,Likely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,20,No,10,About Right,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,DK/REF,0,Somewhat Agree,Somewhat Disagree,20,Yes,,DK/REF,DK/REF,Smart and Sad,Acceptable
Independent,Likely,Not Real At All,2,Somewhat Agree,Somewhat Agree,7,Yes,43,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,DK/REF,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,40,No,,Too High,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,DK/REF,0,Somewhat Agree,Somewhat Agree,3,No,2,Too Low,TRUE,Smart and Sad,DK/REF
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,3,No,5,Too Low,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real but not Caused by People,2,Strongly Agree,Strongly Agree,7,No,,DK/REF,FALSE,Dumb and happy,Acceptable
Independent,DK/REF,Not Real At All,1,Strongly Disagree,Strongly Agree,0,Yes,10,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,2,Yes,6,Too Low,FALSE,Smart and Sad,Unacceptable
Republican,Likely,DK/REF,1,Strongly Agree,Strongly Agree,,Yes,,Too High,DK/REF,DK/REF,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,4,No,20,Too Low,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,5,Somewhat Agree,Strongly Agree,2,Yes,15,Too Low,TRUE,Smart and Sad,Unacceptable
Independent,Unlikely,Real but not Caused by People,3,Strongly Disagree,Strongly Agree,5,No,7,About Right,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,Not Real At All,3,Somewhat Disagree,Somewhat Disagree,1,Yes,2,Too High,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,,Too Low,FALSE,DK/REF,DK/REF
Independent,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Agree,4,Yes,10,Too Low,TRUE,DK/REF,Acceptable
Independent,Likely,Real and Caused by People,2,Somewhat Disagree,Somewhat Disagree,5,Yes,75,Too High,FALSE,Dumb and happy,Acceptable
Democrat,Likely,Real but not Caused by People,4,Strongly Agree,Strongly Agree,10,Yes,50,Too Low,FALSE,Smart and Sad,Unacceptable
Republican,Unlikely,Real but not Caused by People,1,Strongly Agree,Somewhat Agree,26,No,38,Too High,TRUE,Smart and Sad,DK/REF
Independent,Unlikely,Real and Caused by People,4,Somewhat Disagree,Somewhat Agree,30,No,20,About Right,FALSE,Smart and Sad,Acceptable
DK/REF,DK/REF,Real and Caused by People,2,Somewhat Agree,Strongly Agree,20,Yes,1,About Right,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,20,Yes,2,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,3,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,Likely,Real but not Caused by People,0,Strongly Agree,DK/REF,400,No,50,Too High,TRUE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,5,Too Low,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real and Caused by People,,Strongly Agree,Strongly Agree,10,No,1,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,Likely,Real but not Caused by People,,Strongly Agree,Neither Agree nor Disagree,10,Yes,,DK/REF,TRUE,DK/REF,DK/REF
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,25,No,2,Too Low,FALSE,Smart and Sad,Acceptable
DK/REF,Unlikely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,40,No,30,About Right,FALSE,Dumb and happy,DK/REF
Independent,Likely,Real but not Caused by People,3,Strongly Agree,Somewhat Disagree,5,Yes,20,Too High,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,2,No,5,Too Low,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Agree,5,No,5,About Right,TRUE,Dumb and happy,Unacceptable
Independent,Likely,Real but not Caused by People,3,Somewhat Agree,Somewhat Agree,4,Yes,5,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Disagree,Somewhat Disagree,2,Yes,2,Too Low,DK/REF,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,20,No,,DK/REF,FALSE,Smart and Sad,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,12,DK/REF,12,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,,Somewhat Agree,Strongly Agree,100,Yes,10,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,30,No,70,Too High,TRUE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,2,DK/REF,,Too Low,DK/REF,Smart and Sad,Unacceptable
Independent,Likely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,2,No,15,About Right,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Real but not Caused by People,1,Strongly Disagree,Somewhat Agree,0,No,15,DK/REF,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,,Too Low,DK/REF,Smart and Sad,Unacceptable
Independent,Unlikely,DK/REF,,Somewhat Disagree,DK/REF,5,No,10,DK/REF,TRUE,DK/REF,Unacceptable
DK/REF,Likely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,7,No,,About Right,FALSE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,0,Yes,10,About Right,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,5,Somewhat Agree,Somewhat Agree,30,No,5,About Right,TRUE,Dumb and happy,Unacceptable
DK/REF,Unlikely,Real and Caused by People,3,Strongly Disagree,DK/REF,7,No,,Too High,DK/REF,Smart and Sad,DK/REF
DK/REF,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,3,No,5,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,3,No,1,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,4,DK/REF,5,Too Low,TRUE,Dumb and happy,DK/REF
Democrat,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,7,No,5,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,3,Somewhat Disagree,Strongly Agree,60,Yes,20,About Right,FALSE,Dumb and happy,Unacceptable
Independent,Likely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,18,No,1,Too High,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,1,Yes,3,Too Low,FALSE,Smart and Sad,Acceptable
DK/REF,Unlikely,DK/REF,3,Somewhat Disagree,Neither Agree nor Disagree,4,No,6,Too Low,DK/REF,Dumb and happy,Acceptable
DK/REF,Unlikely,DK/REF,2,Strongly Agree,Somewhat Agree,50,Yes,,About Right,TRUE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real but not Caused by People,,Somewhat Agree,Strongly Agree,,No,,Too High,DK/REF,Dumb and happy,DK/REF
DK/REF,Likely,Real and Caused by People,3,Strongly Disagree,Somewhat Disagree,,No,6,Too High,FALSE,Dumb and happy,Acceptable
Republican,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,0,Yes,50,Too Low,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Disagree,0,No,,Too High,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,35,No,10,DK/REF,FALSE,DK/REF,DK/REF
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,0.05,Too Low,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,Yes,35,Too Low,FALSE,Smart and Sad,Unacceptable
Republican,Unlikely,Real but not Caused by People,4,Strongly Agree,Strongly Agree,10,No,20,About Right,FALSE,DK/REF,Acceptable
Republican,Unlikely,Not Real At All,0,Strongly Disagree,DK/REF,3,DK/REF,5,About Right,TRUE,Dumb and happy,Acceptable
Democrat,Likely,Real and Caused by People,4,Strongly Agree,Strongly Agree,100,No,20,Too Low,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,0,No,5,Too Low,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,9,No,,About Right,FALSE,Dumb and happy,Unacceptable
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,6,No,1,About Right,FALSE,Smart and Sad,Acceptable
Republican,Likely,DK/REF,0,Somewhat Disagree,Somewhat Disagree,4,Yes,,Too High,DK/REF,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,300,No,3,Too Low,FALSE,Smart and Sad,DK/REF
Democrat,Likely,Real and Caused by People,4,Strongly Agree,Somewhat Agree,12,Yes,,About Right,TRUE,Dumb and happy,Unacceptable
DK/REF,Likely,DK/REF,0,Strongly Disagree,DK/REF,9,No,,DK/REF,FALSE,Dumb and happy,DK/REF
Republican,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,12,No,1,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real but not Caused by People,,DK/REF,Strongly Agree,0,Yes,,DK/REF,TRUE,DK/REF,DK/REF
Republican,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,150,No,,DK/REF,FALSE,Smart and Sad,DK/REF
DK/REF,DK/REF,DK/REF,0,Somewhat Agree,Somewhat Agree,0,Yes,,About Right,TRUE,DK/REF,Unacceptable
Independent,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,0,Yes,50,About Right,TRUE,Dumb and happy,Unacceptable
Republican,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,6,Yes,,About Right,TRUE,Dumb and happy,DK/REF
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,25,No,,Too Low,TRUE,Smart and Sad,DK/REF
Independent,Unlikely,DK/REF,1,Somewhat Agree,Strongly Agree,36,No,,Too Low,TRUE,Dumb and happy,Acceptable
Independent,Likely,Real and Caused by People,5,Somewhat Disagree,Strongly Disagree,2,No,,DK/REF,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,12,Yes,8,DK/REF,FALSE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,3,No,,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,2,Yes,,About Right,FALSE,Smart and Sad,Unacceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,DK/REF,12,DK/REF,5,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Disagree,50,Yes,1,Too Low,FALSE,Smart and Sad,Unacceptable
Republican,Unlikely,Real and Caused by People,5,Somewhat Agree,Strongly Agree,4,No,1,About Right,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Not Real At All,0,Strongly Agree,Strongly Disagree,25,Yes,0,About Right,TRUE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,27,Yes,7,Too Low,FALSE,Dumb and happy,Unacceptable
Republican,Likely,Real but not Caused by People,0,DK/REF,DK/REF,20,No,,DK/REF,DK/REF,Dumb and happy,Unacceptable
Independent,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,3,No,,Too High,TRUE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,4,Somewhat Disagree,Somewhat Agree,6,Yes,75,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,18,No,5,Too Low,FALSE,Smart and Sad,Unacceptable
DK/REF,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,12,No,2,Too Low,TRUE,Dumb and happy,DK/REF
Democrat,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,20,Yes,50,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,20,Yes,5,Too Low,DK/REF,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,,About Right,TRUE,Smart and Sad,Unacceptable
Independent,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,3,No,,DK/REF,TRUE,Dumb and happy,Acceptable
Democrat,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,6,Yes,1,Too Low,TRUE,Smart and Sad,Acceptable
Independent,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,30,Yes,30,DK/REF,FALSE,Smart and Sad,Acceptable
Republican,Unlikely,Real but not Caused by People,5,Strongly Disagree,Strongly Agree,3,Yes,2,DK/REF,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,0,No,,Too Low,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,,Strongly Agree,Somewhat Agree,7,No,,About Right,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,5,Strongly Agree,Somewhat Disagree,4,No,,Too High,FALSE,Smart and Sad,Acceptable
DK/REF,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,20,No,,Too Low,FALSE,DK/REF,Unacceptable
Republican,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,10,No,60,About Right,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real but not Caused by People,4,Somewhat Agree,Strongly Agree,6,No,2,Too Low,TRUE,Smart and Sad,Acceptable
Republican,Unlikely,Real but not Caused by People,2,Somewhat Agree,Somewhat Agree,1,No,1,Too Low,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,1,Neither Agree nor Disagree,Somewhat Disagree,3,No,,Too High,TRUE,DK/REF,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,20,No,25,Too Low,FALSE,Dumb and happy,Unacceptable
Democrat,Likely,Real and Caused by People,2,Somewhat Disagree,Strongly Agree,9,No,50,Too High,TRUE,Dumb and happy,Acceptable
Republican,Unlikely,DK/REF,1,DK/REF,DK/REF,30,No,10,Too Low,FALSE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,0,DK/REF,DK/REF,2,No,70,DK/REF,DK/REF,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,0,No,20,About Right,TRUE,Dumb and happy,Unacceptable
Democrat,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,8,Yes,15,Too Low,FALSE,Dumb and happy,Acceptable
Independent,Unlikely,DK/REF,3,Somewhat Agree,Strongly Agree,4,Yes,5,Too Low,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,10,No,5,About Right,TRUE,Dumb and happy,Acceptable
Independent,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Disagree,10,Yes,35,DK/REF,TRUE,Smart and Sad,Acceptable
Democrat,Unlikely,Real and Caused by People,,Strongly Agree,Somewhat Disagree,25,Yes,,Too High,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real but not Caused by People,4,Strongly Disagree,Strongly Agree,20,No,20,Too High,TRUE,Smart and Sad,Acceptable
DK/REF,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,,Yes,1,Too Low,FALSE,Smart and Sad,Acceptable
Independent,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,20,No,45,Too Low,TRUE,Dumb and happy,Acceptable
Republican,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,10,Yes,5,DK/REF,TRUE,Smart and Sad,Unacceptable
Republican,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,2,No,20,About Right,TRUE,Dumb and happy,Unacceptable
